Date,PlayerID,Points,CLPoints
2026-08-03,19,5500,1000
2026-08-03,131,5100,0
2026-08-03,4199,5000,2000
2026-08-03,1231,5000,1000
2026-08-03,3832,5000,1000
2026-08-03,1044,5000,5000
2026-08-03,2499,5000,5000
2026-08-03,175,4100,0
2026-08-03,20,4100,0
2026-08-03,2055,4000,1000
2026-08-03,2767,3500,1000
2026-08-03,3151,3500,2000
2026-08-03,2010,3500,1000
2026-08-03,2616,3000,0
2026-08-03,2888,2500,0
2026-08-03,92,2500,0
2026-08-03,2049,2500,0
2026-08-03,37,2500,0
2026-08-03,741,2500,0
2026-08-03,936,2500,0
2026-08-03,4613,2500,0
2026-08-03,128,2000,1000
2026-08-03,239,2000,2000
2026-08-03,1982,2000,2000
2026-08-03,946,2000,2000
2026-08-03,2061,2000,2000
2026-08-03,79,2000,2000
2026-08-03,2081,2000,2000
2026-08-03,2746,1000,0
2026-08-03,3528,1000,1000
2026-08-03,3192,1000,1000
2026-08-03,26,1000,1000
2026-08-03,733,1000,1000
2026-08-03,1812,1000,1000
2026-08-03,2340,1000,1000
2026-08-03,2317,0,0
2026-08-03,39,0,0
2026-08-03,1485,0,0
2026-08-03,2533,0,0
2026-08-03,2046,0,0
2026-08-03,16,0,0
2026-08-03,24,0,0
2026-08-03,12,0,0
2026-08-03,224,0,0
2026-08-03,202,0,0
2026-08-03,17,0,0
2026-08-03,1,0,0
2026-08-03,154,0,0
2026-08-03,5,0,0
2026-08-03,97,0,0
2026-08-03,2469,0,0
2026-08-03,237,0,0
2026-08-03,3982,0,0
2026-08-03,2807,0,0
2026-08-03,2803,0,0
2026-08-03,4715,0,0
2026-08-03,2895,0,0
2026-08-03,4332,0,0
2026-08-03,2274,0,0
2026-08-03,2777,0,0
2026-08-03,2157,0,0
2026-08-03,613,0,0
2026-08-03,143,0,0
2026-08-03,18,0,0
2026-08-10,118,54250,23000
2026-08-10,90,44000,33000
2026-08-10,666,42250,11000
2026-08-10,2166,36850,4000
2026-08-10,1981,35300,6000
2026-08-10,208,33500,11000
2026-08-10,158,30750,4000
2026-08-10,1257,30250,4000
2026-08-10,2611,30200,6000
2026-08-10,546,29750,6000
2026-08-10,1383,29200,6000
2026-08-10,2470,27800,2000
2026-08-10,608,27750,9000
2026-08-10,1108,25750,2000
2026-08-10,125,25300,1000
2026-08-10,1417,25300,2000
2026-08-10,22,24850,0
2026-08-10,47,24800,2000
2026-08-10,93,24750,6000
2026-08-10,2320,24600,9000
2026-08-10,1160,23600,1000
2026-08-10,32,22100,0
2026-08-10,1407,21750,6000
2026-08-10,81,21000,8000
2026-08-10,2,20250,4000
2026-08-10,906,20000,5000
2026-08-10,2438,19600,2000
2026-08-10,2498,19250,8000
2026-08-10,30,19250,1000
2026-08-10,1889,19200,4000
2026-08-10,89,18850,4000
2026-08-10,605,18600,1000
2026-08-10,45,18200,2000
2026-08-10,2640,18200,2000
2026-08-10,101,18200,6000
2026-08-10,8,18100,0
2026-08-10,58,17700,0
2026-08-10,62,17300,1000
2026-08-10,1982,17000,2000
2026-08-10,2758,16100,5000
2026-08-10,106,15200,2000
2026-08-10,24,15000,0
2026-08-10,5,15000,0
2026-08-10,97,15000,0
2026-08-10,2469,15000,0
2026-08-10,85,14500,4000
2026-08-10,1923,14200,0
2026-08-10,905,14200,1000
2026-08-10,1045,14100,1000
2026-08-10,67,13700,5000
2026-08-10,3534,13700,1000
2026-08-10,898,13200,0
2026-08-10,4,12600,5000
2026-08-10,2634,12200,0
2026-08-10,2379,11800,2000
2026-08-10,1465,11800,1000
2026-08-10,4148,11700,2000
2026-08-10,109,11700,0
2026-08-10,1835,11600,1000
2026-08-10,216,11100,2000
2026-08-10,2607,11100,1000
2026-08-10,894,10700,6000
2026-08-10,3461,10700,1000
2026-08-10,724,10600,0
2026-08-10,49,10500,1000
2026-08-10,592,10300,2000
2026-08-10,217,10250,2000
2026-08-10,96,10100,2000
2026-08-10,2066,10000,2000
2026-08-10,10,10000,2000
2026-08-10,9,10000,2000
2026-08-10,1261,10000,2000
2026-08-10,87,10000,5000
2026-08-10,1038,9500,2000
2026-08-10,2103,9000,0
2026-08-10,68,9000,1000
2026-08-10,1149,8700,0
2026-08-10,998,8500,1000
2026-08-10,1323,8300,0
2026-08-10,2797,8000,0
2026-08-10,146,8000,1000
2026-08-10,448,8000,0
2026-08-10,1893,7600,5000
2026-08-10,959,7500,0
2026-08-10,2628,7200,0
2026-08-10,680,7200,2000
2026-08-10,2754,7100,2000
2026-08-10,2887,7100,0
2026-08-10,21,7000,0
2026-08-10,120,7000,2000
2026-08-10,25,6600,1000
2026-08-10,3071,6500,2000
2026-08-10,593,6500,0
2026-08-10,48,6500,4000
2026-08-10,2439,6000,2000
2026-08-10,2778,6000,1000
